                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1702,                 2.9285,                 1.3675,                0.01011,                0.99111,                0.85827,                0.50848,                 1.1187,                 2.9146,                 1.1591,                0.00026,                0.00026,                0.00026
                      2,                 1.0189,                   1.53,                 1.1427,                0.98002,                0.87221,                0.97018,                0.60233,                 1.1349,                 2.6877,                 1.1836,             0.00046363,             0.00046363,             0.00046363
                      3,                 1.0109,                 1.3207,                 1.1758,                0.98596,                0.93629,                0.97879,                0.57778,                 1.2931,                 2.2819,                  1.251,             0.00058806,             0.00058806,             0.00058806
                      4,                0.87646,                 1.1821,                 1.0986,                0.94743,                0.94667,                0.98331,                0.67735,                 1.0573,                 1.8957,                 1.0765,             0.00063329,             0.00063329,             0.00063329
                      5,                0.86695,                 1.0903,                 1.0665,                0.97185,                0.97778,                0.98809,                0.65373,                 1.2018,                 1.5397,                 1.2056,             0.00059931,             0.00059931,             0.00059931
                      6,                0.89029,                  1.059,                 1.1084,                0.94836,                0.93778,                0.96654,                0.51922,                 1.5389,                 1.6524,                 1.4317,             0.00048614,             0.00048614,             0.00048614
                      7,                0.81628,                  1.017,                 1.0827,                0.98123,                0.99111,                0.99378,                0.66983,                 1.1574,                 1.3542,                 1.0936,             0.00029377,             0.00029377,             0.00029377
